Account,Primary Trigger,Secondary Trigger,Source,Confidence,Source website,Size,totalFunding,facebook,twitter,linkedin,Geo,Industry,companyName,Specialization,growth6,growth12,growth24,Growth,Domain
Codeium,closed a $150 million Series C round,R&D and growth,this injection of capital will allow us to significantly ramp up R&D and growth while making even larger strategic bets,High,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,Userbase growth,"Today, the startup has more than 700,000 users and over 1,000 enterprise customers",Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,New Feature Launch,Codeium has released a generous free tier to start,Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,Increase Revenue/Profit,Revenue hit eight figures this year,Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,International Expansion,plans to expand headcount to 120 by 2025,Low,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Anysphere,Series A funding of $60 million at $400 million valuation,Userbase growth,"Anysphere's revenue and usage has also been growing fast, one person said.",Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,New Product Launch,Anysphere was in the process of raising a new round and aiming for a $400 million valuation.,Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,Increase Revenue/Profit,"Anysphere's revenue and usage has also been growing fast, one person said.",Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,Strategic Partnership,The round was co-led by Andreessen Horowitz and Thrive Capital.,High,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,Userbase growth,The company claims to have garnered more than half-a-million users since it was launched early last year.,High,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,New Product Launch,"Tilt's real-time streams bring an in-store shopping feel, and the app allows for deals and offers to be made while users are on the stream.",Medium,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,Increase Revenue/Profit,"Tilt's CEO mentioned that the app allows for auctions, boosts, and interactive events, which can lead to increased revenue.",Medium,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,International Expansion,Tilt's success in the U.K. market may lead to plans for international expansion.,Low,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
Pylon,Series A $17 million,Userbase growth,"Customers seem to be buying into this approach, and the company announced a $17 million Series A on Wednesday.",High,http://techcrunch.com/2024/08/28/pylon-lands-17m-investment-to-build-a-full-service-b2b-customer-service-platform/,,,,,,,,,,,,,,techcrunch.com
Pylon,Series A $17 million,New Product Launch,"Over the last year, it has expanded the mission to include features like ticketing, chatbots and traditional channels like email to begin building a platform of customer communication services.",Medium,http://techcrunch.com/2024/08/28/pylon-lands-17m-investment-to-build-a-full-service-b2b-customer-service-platform/,,,,,,,,,,,,,,techcrunch.com
Pylon,Series A $17 million,Increase Revenue/Profit,"Customers seem to be buying into this approach, and the company announced a $17 million Series A on Wednesday.",Medium,http://techcrunch.com/2024/08/28/pylon-lands-17m-investment-to-build-a-full-service-b2b-customer-service-platform/,,,,,,,,,,,,,,techcrunch.com
The Rounds,Series B funding of $24 million,Product Development,The new capital will go toward product development,High,http://techcrunch.com/2024/08/20/the-rounds-series-b-funding-round-24-million/,,,,,,,,,,,,,,techcrunch.com
The Rounds,Series B funding of $24 million,Hiring,The new capital will go toward hiring,High,http://techcrunch.com/2024/08/20/the-rounds-series-b-funding-round-24-million/,,,,,,,,,,,,,,techcrunch.com
The Rounds,Series B funding of $24 million,Expansion to Additional Markets,expanding the service to additional markets,High,http://techcrunch.com/2024/08/20/the-rounds-series-b-funding-round-24-million/,,,,,,,,,,,,,,techcrunch.com
The Rounds,Series B funding of $24 million,New Feature Launch,introduced new features for customers,Medium,http://techcrunch.com/2024/08/20/the-rounds-series-b-funding-round-24-million/,,,,,,,,,,,,,,techcrunch.com
Opkey,raised $47 million in Series B funding,Increase Revenue/Profit,The startup has closed a $47 million Series B.,High,http://techcrunch.com/2024/08/22/opkey-an-ai-based-erp-testing-platform-raises-47m/,,,,,,,,,,,,,,opkey.com
Opkey,raised $47 million in Series B funding,Customer Satisfaction,The company had only raised $12 million before now.,Medium,http://techcrunch.com/2024/08/22/opkey-an-ai-based-erp-testing-platform-raises-47m/,,,,,,,,,,,,,,opkey.com
Opkey,raised $47 million in Series B funding,Strategic Partnership,partnerships with system integrators like KPMG and PwC,Medium,http://techcrunch.com/2024/08/22/opkey-an-ai-based-erp-testing-platform-raises-47m/,,,,,,,,,,,,,,opkey.com
Story,"$80 million in funding, Series B",New Product Launch,"The plan is to use the funding to continue building out the product — aiming for a commercial launch later this year, per Lee.",High,http://techcrunch.com/2024/08/21/story-raises-83m-at-a-2-25b-valuation-to-build-a-blockchain-for-the-business-of-content-ip-in-the-age-of-ai/,,,,,,,,,,,,,,yourstory.com
Story,"$80 million in funding, Series B",Increase Revenue/Profit,Being able to better capture the value of IP when it gets used has the potential to bring in a lot of money to license owners.,Medium,http://techcrunch.com/2024/08/21/story-raises-83m-at-a-2-25b-valuation-to-build-a-blockchain-for-the-business-of-content-ip-in-the-age-of-ai/,,,,,,,,,,,,,,yourstory.com
Story,"$80 million in funding, Series B",Strategic Partnership,"Story is building what it describes as an 'IP blockchain' — a system and platform by which it envisions that creators will be able to assert their ownership on a piece of content, set usage parameters around that IP, and then let others license and use it.",Medium,http://techcrunch.com/2024/08/21/story-raises-83m-at-a-2-25b-valuation-to-build-a-blockchain-for-the-business-of-content-ip-in-the-age-of-ai/,,,,,,,,,,,,,,yourstory.com